No,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,Big Fire
1,85.8,48.3,313.4,3.9,18,42,2.7,0,0.36,0
2,91,129.5,692.6,7,21.7,38,2.2,0,0.43,0
3,90.9,126.5,686.5,7,21.9,39,1.8,0,0.47,0
4,95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55,0
5,90.1,108,529.8,12.5,21.2,51,8.9,0,0.61,0
6,90,51.3,296.3,8.7,16.6,53,5.4,0,0.71,0
7,95.5,99.9,513.3,13.2,23.8,32,5.4,0,0.77,0
8,95.2,131.7,578.8,10.4,27.4,22,4,0,0.9,0
9,90.1,39.7,86.6,6.2,13.2,40,5.4,0,0.95,0
10,84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96,0
11,94.8,108.3,647.1,17,17.4,43,6.7,0,1.07,0
12,93.7,80.9,685.2,17.9,23.7,25,4.5,0,1.12,0
13,92.5,56.4,433.3,7.1,23.2,39,5.4,0,1.19,0
14,90.1,68.6,355.2,7.2,24.8,29,2.2,0,1.36,0
15,90.1,51.2,424.1,6.2,24.6,43,1.8,0,1.43,0
16,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46,0
17,93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46,0
18,94.8,108.3,647.1,17,16.4,47,1.3,0,1.56,0
19,93.4,145.4,721.4,8.1,28.6,27,2.2,0,1.61,0
20,92.1,111.2,654.1,9.6,18.4,45,3.6,0,1.63,0
21,92.1,111.2,654.1,9.6,20.5,35,4,0,1.64,0
22,92.4,117.9,668,12.2,19,34,5.8,0,1.69,0
23,90.1,39.7,86.6,6.2,16.1,29,3.1,0,1.75,0
24,95.2,131.7,578.8,10.4,20.3,41,4,0,1.9,0
25,90.6,50.1,100.4,7.8,15.2,31,8.5,0,1.94,0
26,92.5,121.1,674.4,8.6,17.8,56,1.8,0,1.95,0
27,89.7,90,704.4,4.8,17.8,67,2.2,0,2.01,0
28,84.9,18.2,55,3,5.3,70,4.5,0,2.14,0
29,92.1,111.2,654.1,9.6,16.6,47,0.9,0,2.29,0
30,96,127.1,570.5,16.5,23.4,33,4.5,0,2.51,0
